,subword_log,subword_tag
0,"['no', '##va', '-', 'a', '##pi', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '17', '_', '12', ':', '02', ':', '19', '2017', '-', '05', '-', '16', '16', ':', '26', ':', '12', '.', '99', '##5', '257', '##4', '##9', 'IN', '##F', '##O', 'no', '##va', '.', 'o', '##sa', '##pi', '_', 'com', '##pute', '.', 'w', '##s', '##gi', '.', 'server', '[', 're', '##q', '-', 'f', '##70', '##6', '##fe', '##35', '-', '91', '##8', '##3', '-', '45', '##f', '##5', '-', 'b', '##64', '##e', '-', 'b', '##c', '##24', '##23', '##31', '##8', '##5', '##9', '##d', '113', '##d', '##3', '##a', '##9', '##9', '##c', '##3', '##da', '##40', '##1', '##f', '##b', '##d', '##6', '##2', '##cc', '##2', '##ca', '##a', '##5', '##b', '##9', '##6', '##d', '##2', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '-', '-', '-', ']', '10', '.', '11', '.', '10', '.', '1', '""', 'GE', '##T', '/', 'v', '##2', '/', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '/', 'servers', '/', 'detail', 'H', '##TT', '##P', '/', '1', '.', '1', '""', 'status', ':', '200', 'le', '##n', ':', '1892', 'time', ':', '0', '.', '247', '##9', '##32', '##9']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X']"
1,"['no', '##va', '-', 'a', '##pi', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '17', '_', '12', ':', '02', ':', '19', '2017', '-', '05', '-', '16', '23', ':', '05', ':', '12', '.', '45', '##2', '257', '##8', '##4', 'IN', '##F', '##O', 'no', '##va', '.', 'meta', '##data', '.', 'w', '##s', '##gi', '.', 'server', '[', '-', ']', '10', '.', '11', '.', '26', '.', '78', ',', '10', '.', '11', '.', '10', '.', '1', '""', 'GE', '##T', '/', 'opens', '##ta', '##ck', '/', '2013', '-', '10', '-', '17', '/', 'vendor', '_', 'data', '.', 'j', '##son', 'H', '##TT', '##P', '/', '1', '.', '1', '""', 'status', ':', '200', 'le', '##n', ':', '124', 'time', ':', '0', '.', '00', '##10', '##65', '##0']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X']"
2,"['no', '##va', '-', 'a', '##pi', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '16', '_', '13', ':', '53', ':', '08', '2017', '-', '05', '-', '16', '02', ':', '22', ':', '35', '.', '99', '##7', '257', '##46', 'IN', '##F', '##O', 'no', '##va', '.', 'o', '##sa', '##pi', '_', 'com', '##pute', '.', 'w', '##s', '##gi', '.', 'server', '[', 're', '##q', '-', 'ad', '##0', '##8', '##5', '##e', '##28', '-', '0', '##ec', '##d', '-', '49', '##ca', '-', 'b', '##6', '##9', '##6', '-', '01', '##29', '##7', '##8', '##9', '##7', '##a', '##7', '##f', '##c', '113', '##d', '##3', '##a', '##9', '##9', '##c', '##3', '##da', '##40', '##1', '##f', '##b', '##d', '##6', '##2', '##cc', '##2', '##ca', '##a', '##5', '##b', '##9', '##6', '##d', '##2', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '-', '-', '-', ']', '10', '.', '11', '.', '10', '.', '1', '""', 'GE', '##T', '/', 'v', '##2', '/', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '/', 'servers', '/', 'detail', 'H', '##TT', '##P', '/', '1', '.', '1', '""', 'status', ':', '200', 'le', '##n', ':', '1892', 'time', ':', '0', '.', '275', '##6', '##18', '##1']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X']"
3,"['no', '##va', '-', 'a', '##pi', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '17', '_', '12', ':', '02', ':', '19', '2017', '-', '05', '-', '16', '15', ':', '57', ':', '49', '.', '360', '257', '##4', '##9', 'IN', '##F', '##O', 'no', '##va', '.', 'o', '##sa', '##pi', '_', 'com', '##pute', '.', 'w', '##s', '##gi', '.', 'server', '[', 're', '##q', '-', '2d', '##e', '##6', '##8', '##aa', '##0', '-', '4', '##c', '##b', '##3', '-', '42', '##47', '-', 'a', '##36', '##c', '-', '420', '##3', '##ba', '##a', '##0', '##9', '##c', '##9', '##6', '113', '##d', '##3', '##a', '##9', '##9', '##c', '##3', '##da', '##40', '##1', '##f', '##b', '##d', '##6', '##2', '##cc', '##2', '##ca', '##a', '##5', '##b', '##9', '##6', '##d', '##2', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '-', '-', '-', ']', '10', '.', '11', '.', '10', '.', '1', '""', 'GE', '##T', '/', 'v', '##2', '/', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '/', 'servers', '/', 'detail', 'H', '##TT', '##P', '/', '1', '.', '1', '""', 'status', ':', '200', 'le', '##n', ':', '1893', 'time', ':', '0', '.', '265', '##9', '##35', '##9']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X']"
4,"['no', '##va', '-', 'a', '##pi', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '17', '_', '12', ':', '02', ':', '19', '2017', '-', '05', '-', '16', '21', ':', '57', ':', '08', '.', '59', '##7', '257', '##4', '##9', 'IN', '##F', '##O', 'no', '##va', '.', 'o', '##sa', '##pi', '_', 'com', '##pute', '.', 'w', '##s', '##gi', '.', 'server', '[', 're', '##q', '-', 'd', '##1', '##bb', '##5', '##a', '##70', '-', '39', '##ea', '-', '405', '##3', '-', 'a', '##31', '##4', '-', '82', '##ba', '##5', '##b', '##3', '##af', '##7', '##c', '##d', '113', '##d', '##3', '##a', '##9', '##9', '##c', '##3', '##da', '##40', '##1', '##f', '##b', '##d', '##6', '##2', '##cc', '##2', '##ca', '##a', '##5', '##b', '##9', '##6', '##d', '##2', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '-', '-', '-', ']', '10', '.', '11', '.', '10', '.', '1', '""', 'GE', '##T', '/', 'v', '##2', '/', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '/', 'servers', '/', 'detail', 'H', '##TT', '##P', '/', '1', '.', '1', '""', 'status', ':', '200', 'le', '##n', ':', '1893', 'time', ':', '0', '.', '256', '##9', '##53', '##0']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X']"
5,"['no', '##va', '-', 'a', '##pi', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '16', '_', '13', ':', '53', ':', '08', '2017', '-', '05', '-', '16', '04', ':', '58', ':', '29', '.', '04', '##6', '257', '##46', 'IN', '##F', '##O', 'no', '##va', '.', 'o', '##sa', '##pi', '_', 'com', '##pute', '.', 'w', '##s', '##gi', '.', 'server', '[', 're', '##q', '-', '56', '##9', '##ef', '##0', '##65', '-', 'a', '##17', '##4', '-', '4', '##f', '##d', '##b', '-', '94', '##0', '##7', '-', '110', '##4', '##ac', '##90', '##80', '##43', '113', '##d', '##3', '##a', '##9', '##9', '##c', '##3', '##da', '##40', '##1', '##f', '##b', '##d', '##6', '##2', '##cc', '##2', '##ca', '##a', '##5', '##b', '##9', '##6', '##d', '##2', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '-', '-', '-', ']', '10', '.', '11', '.', '10', '.', '1', '""', 'GE', '##T', '/', 'v', '##2', '/', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '/', 'servers', '/', 'detail', 'H', '##TT', '##P', '/', '1', '.', '1', '""', 'status', ':', '200', 'le', '##n', ':', '158', '##3', 'time', ':', '0', '.', '1815', '##6', '##22']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X']"
6,"['no', '##va', '-', 'com', '##pute', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '17', '_', '12', ':', '02', ':', '35', '2017', '-', '05', '-', '17', '00', ':', '45', ':', '20', '.', '71', '##3', '29', '##31', 'IN', '##F', '##O', 'no', '##va', '.', 'com', '##pute', '.', 'manager', '[', 're', '##q', '-', '3', '##ea', '##40', '##5', '##2', '##c', '-', '89', '##5', '##d', '-', '4', '##b', '##64', '-', '9', '##e', '##2', '##d', '-', '04', '##d', '##64', '##c', '##4', '##d', '##9', '##4', '##ab', '-', '-', '-', '-', '-', ']', '[', 'instance', ':', '9', '##ac', '##8', '##f', '##6', '##7', '##e', '-', '02', '##ec', '-', '4', '##ec', '##9', '-', 'ad', '##c', '##4', '-', '272', '##6', '##9', '##ff', '##9', '##6', '##26', '##c', ']', 'During', 's', '##ync', '_', 'power', '_', 'state', 'the', 'instance', 'has', 'a', 'pending', 'task', '(', 'spa', '##wning', ')', '.', 'Ski', '##p', '.']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', 'X', 'X']"
7,"['no', '##va', '-', 'com', '##pute', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '16', '_', '13', ':', '55', ':', '31', '2017', '-', '05', '-', '16', '00', ':', '26', ':', '24', '.', '243', '29', '##31', 'IN', '##F', '##O', 'no', '##va', '.', 'v', '##irt', '.', 'l', '##ib', '##vir', '##t', '.', 'driver', '[', '-', ']', '[', 'instance', ':', '29', '##d', '##7', '##b', '##23', '##0', '-', '75', '##ab', '-', '41', '##40', '-', '81', '##d', '##8', '-', '73', '##53', '##d', '##8', '##f', '##7', '##e', '##6', '##9', '##b', ']', 'In', '##stance', 'spawned', 'successfully', '.']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', '<O>', '<O>', 'X']"
8,"['no', '##va', '-', 'com', '##pute', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '17', '_', '12', ':', '02', ':', '35', '2017', '-', '05', '-', '16', '22', ':', '49', ':', '45', '.', '141', '29', '##31', 'IN', '##F', '##O', 'no', '##va', '.', 'v', '##irt', '.', 'l', '##ib', '##vir', '##t', '.', 'image', '##ca', '##che', '[', 're', '##q', '-', 'add', '##c', '##18', '##39', '-', '2', '##ed', '##5', '-', '47', '##7', '##8', '-', 'b', '##5', '##7', '##e', '-', '58', '##5', '##4', '##eb', '##7', '##b', '##8', '##b', '##0', '##9', '-', '-', '-', '-', '-', ']', 'image', '06', '##7', '##3', '##dd', '##7', '##1', '-', '34', '##c', '##5', '-', '4', '##f', '##bb', '-', '86', '##c', '##4', '-', '40', '##6', '##23', '##f', '##be', '##45', '##b', '##4', 'at', '(', '/', 'var', '/', 'l', '##ib', '/', 'no', '##va', '/', 'instances', '/', '_', 'base', '/', 'a', '##48', '##9', '##c', '##86', '##8', '##f', '##0', '##c', '##37', '##da', '##9', '##3', '##b', '##7', '##6', '##22', '##7', '##c', '##9', '##1', '##bb', '##0', '##39', '##0', '##8', '##ac', '##0', '##e', '##7', '##42', ')', ':', 'in', 'use', ':', 'on', 'this', 'node', '1', 'local', ',', '0', 'on', 'other', 'nodes', 'sharing', 'this', 'instance', 'storage']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>', '<O>']"
9,"['no', '##va', '-', 'a', '##pi', '.', 'log', '.', '1', '.', '2017', '-', '05', '-', '17', '_', '12', ':', '02', ':', '19', '2017', '-', '05', '-', '16', '19', ':', '10', ':', '05', '.', '26', '##8', '257', '##4', '##9', 'IN', '##F', '##O', 'no', '##va', '.', 'o', '##sa', '##pi', '_', 'com', '##pute', '.', 'w', '##s', '##gi', '.', 'server', '[', 're', '##q', '-', '130', '##29', '##7', '##ef', '-', '9', '##ae', '##a', '-', '4', '##b', '##3', '##b', '-', '84', '##1', '##f', '-', '0', '##ec', '##e', '##5', '##6', '##ad', '##b', '##0', '##38', '113', '##d', '##3', '##a', '##9', '##9', '##c', '##3', '##da', '##40', '##1', '##f', '##b', '##d', '##6', '##2', '##cc', '##2', '##ca', '##a', '##5', '##b', '##9', '##6', '##d', '##2', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '-', '-', '-', ']', '10', '.', '11', '.', '10', '.', '1', '""', 'GE', '##T', '/', 'v', '##2', '/', '54', '##fa', '##d', '##b', '##41', '##2', '##c', '##4', '##e', '##40', '##c', '##d', '##ba', '##ed', '##9', '##33', '##5', '##e', '##4', '##c', '##35', '##a', '##9', '##e', '/', 'servers', '/', 'detail', 'H', '##TT', '##P', '/', '1', '.', '1', '""', 'status', ':', '200', 'le', '##n', ':', '211', 'time', ':', '0', '.', '104', '##9', '##12', '##0']","['<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<DATE>', 'X', 'X', 'X', 'X', '<TIME>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<LVL>', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', '<PATH>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', 'X', 'X', 'X', 'X', 'X', 'X', 'X', '<O>', '<O>', '<O>', '<O>', 'X', '<O>', '<O>', '<O>', '<O>', '<O>', 'X', 'X', 'X', 'X', 'X']"
